"Set","Doy_sin","Doy_cos","TAVE","TAVE_Summer","PREC_Annual","PREC_Summer","PREC_Winter","SRAD","FCF","SoilR","SoilF","ForestQ95","NDVI","NDVI_SD","TRI","ELEV","Label"
"train",0.33604939321543,0.941844363639525,0.414649169360541,0.325493505208072,-0.108374435420768,-0.206764908625994,0.120592056161388,0.154615468118114,0.162549279793533,-0.772896260186579,0.606349171834797,0.096515810041133,0.729144225267473,-0.0900803123565023,-0.948948140414618,-0.483560420803282,5
"train",0.924787699492529,0.380483522464923,-0.439497411970369,-0.55652731256551,0.240954886070232,0.377885021647478,0.172407628819636,-0.036696786948112,0.214307213054848,0.434637772374203,0.115886989109923,-1,-0.689001042987218,-1,-0.677502174669473,0.495669472139378,6
"train",0.170522192632623,0.985353835847693,-0.0969020696028982,-0.202133273073174,-0.547728261166186,-0.668463657263633,-0.355161081655736,0.324981850258308,0.20395472530475,-0.217297926606983,0.0348600558575705,-0.99306815936495,0.35497808483207,-0.160364305196805,-0.55739512093403,0.192852321109744,7
"train",-0.207911690817759,0.978147600733806,0.152710411912339,0.101184129909728,0.0680222848159144,-0.15196482229952,0.394504982024471,-0.22955920765027,0.431699479366589,0.40426094885357,0.0352105308544755,-0.354261357661092,0.709488252264108,-0.19724307909124,-0.327693887518431,-0.252861380455509,0
"train",0.244999736927764,0.969523145110691,-0.282041356203041,-0.332268303584806,-0.341597025189679,-0.694762328626244,0.0424080115296697,-0.08005753539719,-0.381555074415797,0.25871465151948,0.160543789730816,-1,-0.251422934148565,-0.367215899777986,-0.440824293106104,0.390189390460348,6
"train",0.587785252292473,0.809016994374947,-0.473753884467781,-0.502594454086908,-0.413667804245935,-0.416331543646375,-0.280133397508944,-0.826339495713708,-0.351562676624227,-0.348619655567206,0.117614259568444,-1,-0.664626421698842,-0.653757437829998,-0.158644885263699,0.504321636933304,6
"train",0.996331730862691,0.0855750084788401,-1,-1,-0.399168492696622,-0.200476602519612,-0.473953216378643,-0.0350735261697754,0.993978735539291,-0.746219025531147,-0.01665719893286,-1,-0.754809422483997,-0.780291020472166,0.0115304277268302,0.989332610570138,6
"train",0.556559285941344,0.830807896708054,-0.440911459996525,-0.507525883685574,-0.282666925171079,-0.2468157824789,-0.590083708781849,-0.218691589689858,-0.0275284583994105,-0.660292476818853,0.0841692984001547,-1,-0.425344078629666,-0.728499461144257,-0.582696622400877,0.517705811748518,6
"train",-0.318056891481575,0.948071629035,0.483887003943182,0.427617558073193,0.0612186176613549,0.165382239510033,-0.0410401036483485,0.442072845925081,-0.00179712699437284,0.0284660827912333,0.21034741352961,0.184191091410842,0.903528401442482,-0.438391590345474,-0.873481477989116,-0.571071037530093,11
"train",-0.980082561092393,0.198590466645745,0.983113165612034,0.938849138773215,-0.179227480571921,-0.226671334240504,-0.698049450374788,0.891372873206673,-0.73859216175221,0.382748987176602,-0.334271755011454,-0.445771971483627,0.320206514356259,-0.286133544820897,-0.548483767137451,-0.970150004044001,4
"test",-0.18925124436041,0.981928697262707,-0.319616421908618,-0.396171241923577,-0.714092977780153,-0.625417405051855,-0.81467120159357,0.279790334732589,0.0665336045530542,0.430692019929736,-0.0842186179217159,-1,0.189058616592324,-0.590540765132775,-0.728021177826138,0.401573067461967,2
"test",0.768080357244232,0.640353468652722,-0.296480193191322,-0.399553138303385,0.0898391894744859,-0.0348730585409002,0.010926683104499,-0.0367185702686961,0.0699830392469138,-0.604389560404767,0.10505764775039,-1,-0.0706948351312917,-0.300045117499645,-0.590060602853841,0.381816878622588,0
"test",-0.587785252292473,0.809016994374947,0.443348011702567,0.357191124291793,-0.179323963005096,-0.500018744598263,0.271623771354316,0.166546112123027,0.0906683836871363,-0.582937058529553,0.508047952609771,-0.172135432817774,0.880824525089933,-0.529900165362108,-0.99142128257537,-0.482953840224553,3
"test",0.0950560433041826,0.995471922573085,0.159553438412748,0.16399160083982,-0.663722468109701,-0.745226164554606,-0.387682271886433,-0.0565735022282925,-0.451906276492377,0.214022286128296,0.298860437367296,-0.031830303958564,0.740741892253968,-0.304739674088776,-0.569272854111517,-0.188066808856225,10
"train",-0.875387835354936,0.483421283884564,0.752757695590619,0.680236168047892,-0.400473003701386,-0.601956007272229,-0.0882454540094112,0.431652189431467,-0.582303580986932,0.710978390226949,-0.371688963818102,-0.224435170768722,0.0327923043022085,-0.428512931106071,-0.884377223577125,-0.810148268942326,4
"train",0.866025403784438,0.5,-0.33869079739392,-0.39948926727653,1,0.996491382719777,1,0.108306387567468,0.209694718512725,0.710832713712649,-0.0906679113503838,-1,-0.266834283399603,-0.780463389594477,-0.0162542828348325,0.345011416224846,2
"train",-0.690079011482112,0.72373403810507,0.45831056246132,0.406524451825951,0.0241991644050386,-0.0260007842334624,0.0900764784294279,0.154709701149381,-0.083026671771815,-0.0372661334509845,0.0872182134324533,0.581955773627155,0.864197800921466,-0.538580988775375,-0.407338303560336,-0.490199554317789,1
"train",0.856349030251589,0.516397461638962,0.70346207673636,0.665853508555894,-0.822077258793632,-0.712791592490407,-0.772727833702892,0.54235663821886,-0.501812131882426,0.529226425006176,-0.0870542433196881,-0.273388241930761,0.207198799271097,-0.535204592798816,-0.973884819320443,-0.756887736767451,2
"train",-0.389270106317392,0.92112365311485,0.215576441221288,0.162871238629101,0.160193837204563,-0.0211886574578339,0.415785155812225,0.0606370596647974,0.147923013741018,0.0841531601249488,0.159542771465544,-0.0316095118574634,0.819388769293959,-0.494215876984428,-0.86958770401107,-0.309433606804419,0
"test",-0.0760862180510952,0.997101242313277,0.163706772507478,0.0880516892985488,0.0792161881309252,0.0768776768046235,0.0598895077488808,0.187977672419117,0.309245754562029,0.0356196915403864,0.295201699793851,-0.493451578091858,0.645459963137347,-0.346933814036869,-0.798736362667939,-0.15600957165118,0
"train",0,1,0.0311761151812266,-0.0681642508095557,0.320713545254429,0.33528142059062,0.395230884475299,0.243475925739692,0.365214872008305,0.0294828454012452,0.301312378631601,-0.948932901097111,0.61623389118844,-0.473504665291493,-0.529883821411327,-0.0136348049645841,0
